HTML is what type of language ?,Scripting Language,Markup Language,Programming Language,Network Protocol,Markup Language,,
HTML uses,User defined tags,Pre-specified tags,Fixed tags defined by the language,Tags only for linking,Fixed tags defined by the language,,
Fundamental HTML Block is known as ___________.,HTML Body,HTML Tag,HTML Attribute,HTML Element,HTML Tag,,
What tag is used to display a picture in a HTML page?,picture,image,img,src,img,,
HTML web pages can be read and rendered by _________.,Compiler,Server,Web Browser,Interpreter,Web Browser,,
Which of the following is not a browser ?,Microsofts Bing,Netscape Navigator,Mozilla Firefox,Opera,Microsofts Bing,,
Which of the following is not a valid variable name declaration?,int __a3;,int __3a,int __A3,None of the mentioned,None of the mentioned,,
All keywords in C are in ____________,LowerCase letters,UpperCase letters,CamelCase letters,None of the mentioned,LowerCase letters,,
Variable name resolution (number of significant characters for the uniqueness of variable) depends on ___________,Compiler and linker implementations,Assemblers and loaders implementations,C language,None of the mentioned,Compiler and linker implementations,,
Which of the following is not a valid C variable name?,int number,float rate,int variable_count,int $main,int $main,,
Which of the following is true for variable names in C?,They can contain alphanumeric characters as well as special characters,"It is not an error to declare a variable to be one of the keywords(like goto, static)",Variable names cannot start with a digit,Variable can be of any length,Variable names cannot start with a digit,,
"Within main, return expr statement is equivalent to ________",abort(expr),exit(expr),ferror(expr),none,exit(expr),,
stderr is similar to?,stdin,stdout,both stdout and stdin,none ,stdin,,
Which of the following function can be used to terminate the main function from another function safely?,return(expr),exit(expr),abort(),both exit(expr); and abort(),exit(expr),,
The parameter control string in the printf () is a C String that contains text to be,taken from a standard output device,written on to the standard output device,received from the standard output device,nothing can be said,written on to the standard output device,,
"Output justification such as decimal point, numerical sign, trailing zeros or octal are specified.",specifier,flags,precision,decimal,flags,,
What symbol is used to Left-justify within the data given field width?,#NAME,#NAME?,#,0,#NAME?,,
What specifies the minimum number of characters to print after being padded with zeros or blank spaces?,flags,length,width,precision,width,,
The maximum number of characters to be printed is specified by __________,precision,width,length,flags,precision,,
What error is generated on placing an address operator with a variable in the printf statement?,compile error,run-time error,logical error,no error,run-time error,,
What error will generate if the read and write parameters are not separated by commas?,run-time error,compile error,logical error,no error,compile error,,
A fatal error will be generated if the format string is ended with a white space character.,TRUE,FALSE,,,TRUE,,
__is an optional argument that gives the maximum number of characters to be read.,modifiers,width,precision,length,width,,
"What is the syntax for constant pointer to address (i.e., fixed pointer address)?",const <type> * <name>,<type> * const <name>,<type> const * <name>,none ,<type> * const <name>,,
What is the range of short data type in Java?,There is no limitation,-3.40E+38,-2147483648 to 2147483647,None of the mentioned,-32768 to 32767,,
What is the range of byte data type in Java?,-128 to 127,-32768 to 32767,-2147483648 to 2147483647,None of the mentioned,-128 to 127,,
"An expression involving byte, int, and literal numbers is promoted to which of these?",int,long,byte,float,int,,
Which of these literals can be contained in float data type variable?,-1.7e+308,-3.40E+38,+1.7e+308,-3.40E+50,-3.40E+38,,
Which data type value is returned by all transcendental math functions?,int,float,double,long,double,,
Which of the following is the advantage of BigDecimal over double?,Syntax,Memory usage,Garbage creation,Precision,Precision,,
"Which of the below data type doesnot support overloaded methods for +,-,* and /?",int,float,double,BigDecimal,BigDecimal,,
What is the base of BigDecimal data type?,Base 2,Base 8,Base 10,Base e,Base 10,,
What is the limitation of toString() method of BigDecimal?,There is no limitation,toString returns null,toString returns the number in expanded form,toString uses scientific notation,toString uses scientific notation,,
Which of the following is not provided by BigDecimal?,scale manipulation,#NAME?,rounding,hashing,#NAME?,,
BigDecimal is a part of which package?,java.lang,java.math,java.util,java.io,java.math,,
What is BigDecimal.ONE?,wrong statement,custom defined statement,static variable with value 1 on scale 10,static variable with value 1 on scale 0,static variable with value 1 on scale 0,,
Which class is a library of functions to perform arithmetic operations of BigInteger and BigDecimal?,MathContext,MathLib,BigLib,BigContext,MathContext,,
Which of these operators is used to allocate memory to array variable in Java?,malloc,alloc,new,new malloc,new,,
Which of these is an incorrect array declaration?,int arr[] = new int[5].,int [] arr = new int[5].,int arr[] = new int[5].,int arr[] = int [5] new,int arr[] = int [5] new,,
Which of these is an incorrect Statement?,It is necessary to use new operator to initialize an array,Array can be initialized using comma separated expressions surrounded by curly braces,Array can be initialized when they are declared,None of the mentioned,It is necessary to use new operator to initialize an array,,
Which of these is necessary to specify at time of array initialization?,Row,Column,Both Row and Column,None of the mentioned,Row,,
Which of these method of String class is used to obtain character at specified index?,char(),Charat(),charat(),charAt(),charAt(),,
Which of these keywords is used to refer to member of base class from a subclass?,upper,super,this,none of,super,,
Which of these method of String class can be used to test to strings for equality?,isequal(),isequals(),equal(),equals(),equals(),,
Which of the following statements are incorrect?,String is a class,Strings in java are mutable,Every string is an object of class String,"Java defines a peer class of String, called StringBuffer, which allows string to be altered",Strings in java are mutable,,
Which of these can be overloaded?,Methods,Constructors,All of the mentioned,None of the mentioned,All of the mentioned,,
"What is the process of defining a method in terms of itself, that is a method that calls itself?",Polymorphism,Abstraction,Encapsulation,Recursion,Recursion,,
What requires less resources?,Thread,Process,Thread and Process,Neither Thread nor Process,Thread,,
What does not prevent JVM from terminating?,Process,Daemon Thread,User Thread,JVM Thread,Daemon Thread,,
Is Python case sensitive when dealing with identifiers?,yes,no,machine dependent,none ,yes,,
What is the maximum possible length of an identifier?,31 characters,63 characters,79 characters,none ,none of the mentioned,,
Which of the following is invalid?,_a = 1,__a = 1,__str__ = 1,none ,none of the mentioned,,
Which of the following is an invalid variable?,my_string_1,1st_string,foo,_,1st_string,,
Why are local variable names beginning with an underscore discouraged?,they are used to indicate a private variables of a class,they confuse the interpreter,they are used to indicate global variables,they slow down execution,they are used to indicate a private variables of a class,,
Which of the following is not a keyword?,eval,assert,nonlocal,pass,eval,,
All keywords in Python are in,lower case,UPPER CASE,Capitalized,None of the mentioned,None of the mentioned,,
Which of the following is true for variable names in Python?,unlimited length,all private members must have leading and trailing underscores,underscore and ampersand are the only two special characters allowed,none ,unlimited length,,
Which of the following is an invalid statement?,"abc = 1,000,000",a b c = 1000 2000 3000,"a,b,c = 1000, 2000, 3000","a_b_c = 1,000,000",a b c = 1000 2000 3000,,
Which of the following cannot be a variable?,__init__,in,it,on,in,,
Which keyword is use for function?,Fun,Define,Def,Function,Def,,
"The function pow(x,y,z) is evaluated as:",(x**y)**z,(x**y) / z,(x**y) % z,(x**y)*z,(x**y) % z,,
What is returned by math.ceil(3.4)?,3,4,,,4,,
What is the value returned by math.floor(3.4)?,3,4,,,3,,
Is the output of the function abs() the same as that of the function math.fabs()?,sometimes,always,never,none of the mentioned,sometimes,,
What is the value returned by math.fact(6)?,720,6,"[1, 2, 3, 6].",error,error,,
What is the value of x if x = math.factorial(0)?,0,1,error,none of the mentioned,1,,
What is math.factorial(4.0)?,24,1,error,none of the mentioned,24,,
What is the output of print(math.factorial(4.5))?,24,120,error,26,error,,
What is math.floor(0o10)?,8,10,0,9,8,,
What does os.name contain?,the name of the operating system dependent module imported,the address of the module os,"error, it should have been os.name()",none of the mentioned,the name of the operating system dependent module imported,,
What does print(os.geteuid()) print?,the group id of the current process,the user id of the current process,both the group id and the user of the current process,none of the mentioned,the user id of the current process,,
What does os.getlogin() return?,name of the current user logged in,name of the superuser,gets a form to login as a different user,all of the above,name of the current user logged in,,
What does os.close(f) do?,terminate the process f,terminate the process f if f is not responding,close the file descriptor f,return an integer telling how close the file pointer is to the end of file,close the file descriptor f,,
Firefox uses _________ rendering engine.,WebKit,Gecko,Trident,Presto,Gecko,,
State true or false. It is faster to render HTML and CSS than to interpret and execute JavaScript.,TRUE,FALSE,,,TRUE,,
What is the use of defer attribute?,It defers rendering of html page,It defers script execution until the page has been rendered,It defers rendering of css attributes,It is only for internal scripts,It defers script execution until the page has been rendered,,
Which of the following is used to read a HTML page and render it?,Web browser,Web server,Web matrix,Web network,Web browser,,
Which of the following is the first web browser?,Nexus,Netscape Navigator,Internet Explorer,Mosaic,Nexus,,
Who created the first web browser,Tim Berners Lee,"Jacobs, Lan",Marc Andeersen,Mozilla foundation,Tim Berners Lee,,
Nexus is first graphical web browser.,TRUE,FALSE,,,FALSE,,
The open source software version of netscape is _________,Chrome,Mozilla,Internet Explorer,Erwise,Mozilla,,
Before HTML5 where data had to be stored?,cookies,browser,only in Internet Explorer,only in Chrome,cookies,,
In localStorage object data ________,is deleted after the browser has been closed,is not deleted after the browser has been closed,can be seen but can not edit,can be seen as well as edit,is not deleted after the browser has been closed,,
In sessionStorage object data __________,is not deleted after the browser has been closed,can be seen but can’t edit,can be seen as well as edit,is deleted after the browser has been closed,is deleted after the browser has been closed,,
What is the limit of character storage for chrome 23.0 in localStorage?,unlimited,none,1021 k,4.98 M,none,,
What is the limit of character storage for chrome 23.0 in sessionStorage?,510 k,unlimited,1021 k,2.49 M,510 k,,
Which of the following is not a web storage interface?,storage,window,storageEvent,privacy,privacy,,
Which of the following returns a number of value pairs?,storage.key(n),storage.length,"storage.setItem(key,value)",storage.clear(),storage.length,,
Which of the following is invoked when it is not fired on window object?,removeItem(),clear(),setItem(),getItem(),getItem(),,
Which of the following is not the storageEvent interface?,event.newValue,event.url,event.key,event.clear,event.clear,,
For clearing all the settings which function should be called?,localStorage.remove(key),localStorage.clear(),localStorage.remove(),localStorage.clearAll(),localStorage.clear(),,
Which of the following gives a text description of the image if it is not available?,alt,title,src,height,alt,,
Which of the following is not the software for editing images?,Adobe Fireworks,PaintShop Pro,Paint.net,Splashup,Splashup,,
JPEG format is useful when ___________,there are so many colors in the picture,there are not so many colors in the picture,we want to show more brightness,when we want to show haziness,there are so many colors in the picture,,
Up to what resolution image should be saved by using in the web?,23 ppi,34 ppi,72 ppi,100 ppi,72 ppi,,
Images are usually printed at a resolution of ___________,200 dpi,100 dpi,50 dpi,300 dpi,300 dpi,,
Vector images are created in ___________,Adobe Illustrator,Adobe Photoshop,Adobe Fireworks,Splashup,Adobe Illustrator,,
What is the new format to display vector images?,SVG,GIF,JPG,PNG,SVG,,
IBM and ___ have announced a major initiative to use Hadoop to support university courses in distributed computer programming.,Google Latitude,Android (operating system),Google Variations,Google,Google,,
Point out the correct statement :,Hadoop is an ideal environment for extracting and transforming small volumes of data,Hadoop stores data in HDFS and supports data compression/decompression,The Giraph framework is less useful than a MapReduce job to solve graph and machine learning,None of the mentioned,Hadoop stores data in HDFS and supports data compression/decompression,,
What license is Hadoop distributed under ?,Apache License 2.0,Mozilla Public License,Shareware,Commercial,Apache License 2.0,,
"Sun also has the Hadoop Live CD ________ project, which allows running a fully functional Hadoop cluster using a live CD.",OpenOffice.org,OpenSolaris,GNU,Linux,OpenSolaris,,
Which of the following genres does Hadoop produce ?,Distributed file system,JAX-RS,Java Message Service,Relational Database Management System,Distributed file system,,
What was Hadoop written in ?,Java (software platform),Perl,Java (programming language),Lua (programming language),Java (programming language),,
Which of the following platforms does Hadoop run on ?,Bare metal,Debian,Cross-platform,Unix-like,Cross-platform,,
"Hadoop achieves reliability by replicating the data across multiple hosts, and hence does not require ___ storage on hosts.",RAID,Standard RAID levels,ZFS,Operating system,RAID,,
"Above the file systems comes the ___ engine, which consists of one Job Tracker, to which client applications submit MapReduce jobs.",MapReduce,Google,Functional programming,Facebook,MapReduce,,
"The Hadoop list includes the HBase database, the Apache Mahout ____ system, and matrix operations.",Machine learning,Pattern recognition,Statistical classification,Artificial intelligence,Machine learning,,
A ________ serves as the master and there is only one NameNode per cluster.,Data Node,NameNode,Data block,Replication,NameNode,,
Point out the correct statement :,DataNode is the slave/worker node and holds the user data in the form of Data Blocks,Each incoming file is broken into 32 MB by default,Data blocks are replicated across different nodes in the cluster to ensure a low degree of fault tolerance,None of the mentioned,DataNode is the slave/worker node and holds the user data in the form of Data Blocks,,
HDFS works in a __________ fashion.,master-worker,master-slave,worker/slave,all of the mentioned,master-worker,,
_______ NameNode is used when the Primary NameNode goes down.,Rack,Data,Secondary,None of the mentioned,Secondary,,
The need for data replication can arise in various scenarios like :,Replication Factor is changed,DataNode goes down,Data Blocks get corrupted,All of the mentioned,All of the mentioned,,
_____ is the slave/worker node and holds the user data in the form of Data Blocks.,DataNode,NameNode,Data block,Replication,DataNode,,
HDFS provides a command line interface called __________ used to interact with HDFS.,HDFS Shell,FS Shell,DFS Shell,None of the mentioned,FS Shell,,
HDFS is implemented in _____________ programming language.,C++,Java,Scala,None of the mentioned,Java,,
"In order to read any file in HDFS, instance of __________ is required.",filesystem,datastream,outstream,inputstream,filesystem,,
Point out the correct statement :,The framework groups Reducer inputs by keys,The shuffle and sort phases occur simultaneously i.e. while outputs are being fetched they are merged,"Since JobConf.setOutputKeyComparatorClass(Class) can be used to control how intermediate keys are grouped, these can be used in conjunction to simulate secondary sort on values",All of the mentioned,All of the mentioned,,
__ is method to copy byte from input stream to any other stream in Hadoop.,IOUtils,Utils,IUtils,All of the mentioned,IOUtils,,
__ is used to read data from bytes buffers .,write(),read(),readwrite(),all of the mentioned,write(),,
Point out the wrong statement :,The framework calls reduce method for each pair in the grouped inputs,The output of the Reducer is re-sorted,reduce method reduces values for a given key,None of the mentioned,The output of the Reducer is re-sorted,,
Interface ____________ reduces a set of intermediate values which share a key to a smaller set of values.,Mapper,Reducer,Writable,Readable,Reducer,,
Reducer is input the grouped output of a :,Mapper,Reducer,Writable,Readable,Mapper,,
The output of the reduce task is typically written to the FileSystem via :,OutputCollector,InputCollector,OutputCollect,All of the mentioned,OutputCollector,,
Applications can use the _________ provided to report progress or just indicate that they are alive.,Collector,Reporter,Dashboard,None of the mentioned,Reporter,,
Which of the following parameter is to collect keys and combined values ?,key,values,reporter,output,output,,
__ is the name of the archive you would like to create.,archive,archiveName,name,none of the mentioned,archiveName,,
Point out the correct statement :,A Hadoop archive maps to a file system directory,Hadoop archives are special format archives,A Hadoop archive always has a *.har extension,All of the mentioned,All of the mentioned,,
Using Hadoop Archives in __________ is as easy as specifying a different input filesystem than the default file system.,Hive,Pig,MapReduce,All of the mentioned,MapReduce,,
The __________ guarantees that excess resources taken from a queue will be restored to it within N minutes of its need for them.,capacitor,scheduler,datanode,none of the mentioned,scheduler,,
Point out the wrong statement :,The Hadoop archive exposes itself as a file system layer,Hadoop archives are immutable,"Archive rename, deletes and creates return an error",None of the mentioned,None of the mentioned,,
___ is a pluggable Map/Reduce scheduler for Hadoop which provides a way to share large clusters.,Flow Scheduler,Data Scheduler,Capacity Scheduler,None of the mentioned,Capacity Scheduler,,
Which of the following parameter describes destination directory which would contain the archive ?,#NAME?,<source>,<destination>,none of the mentioned,<destination>,,
___ identifies filesystem path names which work as usual with regular expressions.,-archiveName <name>,<source>,<destination>,none of the mentioned,none of the mentioned,,
___ is the parent argument used to specify the relative path to which the files should be archived to,-archiveName <name>,-p <parent_path>,<destination>,<source>,-p <parent_path>,,
Hadoop I/O Hadoop comes with a set of ________ for data I/O.,methods,commands,classes,none of the mentioned,none of the mentioned,,
Apache Hadoop ___________ provides a persistent data structure for binary key-value pairs.,GetFile,SequenceFile,Putfile,All of the mentioned,SequenceFile,,
How many formats of SequenceFile are present in Hadoop I/O ?,2,3,4,5,3,,
Which of the following format is more compression-aggressive ?,Partition Compressed,Record Compressed,Block-Compressed,Uncompressed,Block-Compressed,,
The __________ is a directory that contains two SequenceFile.,ReduceFile,MapperFile,MapFile,None of the mentioned,MapFile,,
The ______ file is populated with the key and a LongWritable that contains the starting byte position of the record.,Array,Index,Immutable,All of the mentioned,Index,,
"The _________ as just the value field append(value) and the key is a LongWritable that contains the record number, count + 1.",SetFile,ArrayFile,BloomMapFile,None of the mentioned,ArrayFile,,
____ data file takes is based on avro serialization framework which was primarily created for hadoop.,Oozie,Avro,cTakes,Lucene,Avro,,
The HDFS client software implements __________ checking on the contents of HDFS files.,metastore,parity,checksum,none of the mentioned,checksum,,
Point out the correct statement :,The HDFS architecture is compatible with data rebalancing schemes,Datablocks support storing a copy of data at a particular instant of time,HDFS currently support snapshots,None of the mentioned,The HDFS architecture is compatible with data rebalancing schemes,,
The ___________ machine is a single point of failure for an HDFS cluster.,DataNode,NameNode,ActionNode,All of the mentioned,NameNode,,
The ____________ and the EditLog are central data structures of HDFS.,DsImage,FsImage,FsImages,All of the mentioned,FsImage,,
__ support storing a copy of data at a particular instant of time.,Data Image,Datanots,Snapshots,All of the mentioned,Snapshots,,
HTML is what type of language ?,Scripting Language,Markup Language,Programming Language,Network Protocol,Markup Language,,
HTML uses,User defined tags,Pre-specified tags,Fixed tags defined by the language,Tags only for linking,Fixed tags defined by the language,,
Fundamental HTML Block is known as ___________.,HTML Body,HTML Tag,HTML Attribute,HTML Element,HTML Tag,,
What tag is used to display a picture in a HTML page?,picture,image,img,src,img,,
HTML web pages can be read and rendered by _________.,Compiler,Server,Web Browser,Interpreter,Web Browser,,
Which of the following is not a browser ?,Microsofts Bing,Netscape Navigator,Mozilla Firefox,Opera,Microsofts Bing,,
Choose the correct HTML element for the largest heading:,<h1>,<head>,<heading>,<h6>,<h1>,,
What is the correct HTML element for inserting a line break?,<br>,<lb>,<break>,none,<br>,,
What is the correct HTML for adding a background color?,<background>red</background>,"<body bg=""yellow"">","<body style=""background-color:yellow;"">",none,"<body style=""background-color:yellow;"">",,
Choose the correct HTML element to define important text,<strong>,<important>,<b>,<i>,<important>,,
Choose the correct HTML element to define emphasized text,<italic>,<em>,<i>,none,<em>,,
Inline CSS is applies a unique style over,Single element,Multiple elements,Whole document,Half document,Single element,,
"In HTML, tag used to specify background color is",<bg> yellow </bg>,"<body bg=""black"">","<body background=""black"">","< body style=""background-color:black"">","< body style=""background-color:black"">",,
"In HTML, element defining a table row is",<tablerow>,<tabr>,<tr>,<trow>,<tr>,,
HTML tag <pre> displays content in,Preferred form text,Preformatted txt,Pre-linked text,Prepared text format,Preformatted txt,,
Regular expression in JavaScripts uses defined string method(s) known to be,search(),toString(),replace,Both A and C,Both A and C,,
"In HTML, colors can be specified using HSL value, which means","Hue, Saturation, Light","High, Static, Low","High, Stable, Low","HTML, Semantics, Language","Hue, Saturation, Light",,
A tag known to be fundamental HTML block is,<!DOCTYPE>,<HTML>,<BODY>,<P>,<HTML>,,
"Defining a special style for special table, added attribute should be of",<class>,<padding>,<id>,<tr>,<id>,,
A JS method named valueOf() returns,A string as a number,An exponential as a number,A number as a string,A number as a number,A number as a number,,
"In HTML, the?element <html> defines the",Element only,Function only,Whole document,Content,Whole document,,
"In a web address, name of a document or address is defined by the",Filename,Domain name,Port,Prefix,Filename,,
Element <em> of HTML defines,Exponent mode text,Empirical text,Strong text,Emphasized text,Emphasized text,,
"Number of attributes required for <div> element, is/are of",0,1,2,3,0,,
"<div> element used along together with CSS, can generate",Content blocks,Table blocks,Style blocks,Div Blocks,Style blocks,,
Join() method is just like,string(),toString(),toNumber(),concatenate(),toString(),,
"In HTML, unordered list items are marked with",Bullets,Numerical,Increasingly,Alphabetically,Bullets,,
A <details> tag of HTML5 defines,Command Captions,A. Contents aside from page content,A. Article's header and footer,Details that can be hide,Details that can be hide,,
JavaScript is used for,Image manipulation,form validation,Dynamic changes in content,All of the Above,All of the Above,,
"For extracting a part of a string, methods defined by JS string are of",2 types,3 types,4 types,5 types,3 types,,
Typeof operator of JavaScript always returns a/an,Object,Function,String,Number,String,,
An array method that joins all array elements into a string is known to be,strjoin(),stringcon(),concatenate(),join(),join(),,
"A sequence of characters forming a?search pattern, is called",Pattern Expression,Regular expression,Expression parsing,Expression detailing,Regular expression,,
A stricter document type of HTML is known to be,THTML,XHTML,HHTML,BHTML,XHTML,,
"For paragraph, defined HTML tags are of",<p>,<para>,<define>,<def>,<p>,,
"To index structure, search engines uses",Headings,Body,Tags,<!DOCTYPE>,Headings,,
In JavaScript short dates are written in syntax,DD/MM/YYYY,MM/DD/YYYY,MM/YYYY,DD/YYYY,MM/DD/YYYY,,
"In regular expression pattern matching, /s finds a",Digit,White-space character,Start of a word,Unicode special character,White-space character,,
"In HTML elements, CSS can be added in different",2 ways,3 ways,4 ways,5 ways,3 ways,,
HTML standard that does not require quotes around attribute values is said to be,HTML 1,HTML 3,HTML 5,HTML 7,HTML 5,,
"In HTML, element defining a table heading is",<style>,<head>,<thead>,<th>,<th>,,
A caption for a figure can be defined in HTML5 by using tag,<caption>,<figurecap>,<figcaption>,<fcaption>,<figcaption>,,
"A HTML element known to be <ins>, defines",Incapsulation,Insertion,Instance,Instantiation,Insertion,,
A HTML element that is used to group footer content in a table is known to be,<tfoot>,<tfooter>,<tbody>,<tgroup>,<tfoot>,,
Syntax of style attribute of HTML is,"<tagname style=""property"">","<tagname style=""property:value;"">","<style=""value;"">","<style=""property;"">","<tagname style=""property:value;"">",,
A HTML element that is used to group body content in a table is known to be,<tbody>,<tfoot>,<thead>,<theader>,<tbody>,,
Tag used in HTML5 to define content aside from page content,<legend>,<bdo>,<bdi>,<aside>,<aside>,,
"When an attribute of HTML value contains double quotes, it is necessary to use",Single quotes,Double quotes,Single+Double quotes,No quotes,Single quotes,,
"In HTML, empty elements can be closed in opening tag such as",<br />,< /br >,<bl />,</ bl >,<br />,,
An external CS sheet defines style for,Single element,Single HTML page,Multiple elements,Multiple HTML pages,Multiple HTML pages,,
"In debugger window, at each breakpoint, JavaScript will stop",Compiling,Executing,Calling objects,Referencing,Executing,,
XML is a,Structural language,Script language,Markup language,Procedural language,Markup language,,
"Variables in JavaScript can be converted to a new variable and another data type, by using",JavaScript function,Comparison,Type conversion,Expression parsing,JavaScript function,,
To access an external sheet link is added over section,<html>,<!DOCTYPE>,<h1>,<body>,<html>,,
"In HTML, visited links are specified in color",Black,White,Red,Purple,Purple,,
POST method does not display submitted form data in the,Page address domain,Page address path,Page address filename,Page address field,Page address field,,
"Extra lines in output of HTML code, creates",Changes,NO changes,Errors,Template,NO changes,,
"If form data contains sensitive or personal information, method to use is",Post,Get,Set,Append,Post,,
XHTML and HTML is,Different,Dependent,Difficult,Identical,Identical,,
Browsers displays <em> tag as,<i>,<b>,<strong>,<u>,<i>,,
Length of a URL is limited upto,2000 characters,3000 characters,4000 characters,1000 characters,3000 characters,,
"Important XML standards includes XML AJAX, XML DOM, XML Xpath and",XML XQuery,XML Services,XML Domain,Both A and B,Both A and B,,
"Attribute in HTML that defines location of where to open linked area, is said to be",Target,Framename,VisitLink,OpenLink,Target,,
"Element used by HTML for defining a section that is quoted from another source, is",<block>,< em block>,<blockcode>,<blockquote>,<blockquote>,,
"In HTML, language of document is declared in tag",<!DOCTYPE html>,<html>,<body>,<ref>,<html>,,
Array elements are accessed using their,Length,Pointers,Object,Index,Index,,
<mark> element in HTML displays content as,Bold,Important,Emphasized,Highlighted,Highlighted,,
URL encoding replaces a space in URL with sign,?,+,%,&,+,,
Attributes for an element are specified in,Start Tag, End tag,Content Tag,Body Tag,Start Tag,,
"ISO dates can be written without specifying day, such as",YY/MM,MM/YYYY,YY-MM,YYYY-MM,YYYY-MM,,
Syntax of assigning color to a heading in HTML is,"<h1?style=""color:blue;"">",<h1?style=color:blue;>,<h1?style='color:blue;'>,"<h1?style=""color:blue"">","<h1?style=""color:blue;"">",,
String method of JavaScript not capable of taking a second start position argument is said to be,search(),indexOf(),pointerOf(),currentOf(),search(),,
"When there is some sensitive data to be sent, never use method",Get,Call,Insec,Transparent,Get,,
Amount of width required for an inline element is of,Maximum width,Minimum width,Necessary width,No width,Necessary width,,
"In HTML, the?<body>?element defines the",Whole document,Document content,Document body,Document Start,Document body,,
HTML elements can have attributes which provides,Case sensitivity,The value,Element type,Additional information, Additional information,,
HTML images are defined with <img> tag and filename of image is specified by attribute,src,src-name,src-link,src-href,src,,
Style attribute of an element defines,Size,Color,Font type,All of the Above,All of the Above,,
What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Both (i) and (ii),Both (i) and (ii),,
Who is the father of PHP?,Rasmus Lerdorf,Willam Makepiece,Drek Kolkevi,List Barely,Rasmus Lerdorf,, 
PHP files have a default file extension of.,.html,.xml,.php,.ph,.php,,
A PHP script should start with ___ and end with ___:,< php >,< ? php ?>,< ? ? >,< ?php ? >,< ?php ? >,,
Which of the looping statements is/are supported by PHP?,for loop,while loop,do-while loop,All of the mentioned,All of the mentioned,,
Which of the following is/are a PHP code editor? ditor?,Notepad,Notepad++,Adobe Dreamweaver,All of the mentioned.,All of the mentioned.,,
Which of the following must be installed on your computer so as to run PHP script?, IIS,PHP,Apache,All of the mentioned,All of the mentioned,,
Which version of PHP introduced Try/catch Exception?,PHP 5,PHP 4,PHP 5.3,PHP 6,PHP 5,,
We can use ___ to comment a single line?,/?,//,#,Both (iI) and (iIi),Both (iI) and (iIi),,
If $a = 12 what will be returned when ($a == 12) ? 5 : 1 is executed?,12,1,Error,5,5,,
Which of the below statements is equivalent to $add += $add ?,$add = $add,$add = $add +$add,$add = $add + 1,$add = $add + $add + 1,$add = $add +$add,,
Which SQL keyword is used to retrieve a maximum value ?,MOST,TOP,MAX,UPPER,MAX,,
Which of the following SQL clauses is used to DELETE tuples from a database table ?,DELETE,REMOVE,DROP,CLEAR,DELETE,,
___removes all rows from a table without logging the individual row deletions.,DELETE,REMOVE,DROP,TRUNCATE,TRUNCATE,,
Which of the following is not a DDL command ?,UPDATE,TRUNCATE,ALTER,None of the Mentioned,UPDATE,,
Which of the following are TCL commands ?,UPDATE and TRUNCATE,SELECT and INSERT,GRANT and REVOKE,ROLLBACK and SAVEPOINT,ROLLBACK and SAVEPOINT,,
___ is not a category of SQL command.,TCL,SCL,DCL,DDL,SCL,,
"If you donot specify ASC or DESC after a SQL ORDER BY clause, the following is used by default",ASC,DESC,There is no default value,There is no default value,ASC,,
What is the purpose of the SQL AS clause ?,The AS SQL clause is used change the name of a column in the result set or to assign a name to a derived column,The AS clause is used with the JOIN clause only,The AS clause defines a search condition,All of the mentioned,The AS SQL clause is used change the name of a column in the result set or to assign a name to a derived column,,
